"ID","Description","URL","Topic","Domain","Long ID","Transition","Modeling"
"HSN.Q.A.2","Define appropriate quantities for the purpose of descriptive modeling.","http://www.corestandards.org/Math/Content/HSN/Q/A/2/","Number & Quantity","Quantities","CCSS.Math.Content.HSN.Q.A.2",false,false
"HSN.Q.A.3","Choose a level of accuracy appropriate to limitations on measurement when reporting quantities.","http://www.corestandards.org/Math/Content/HSN/Q/A/3/","Number & Quantity","Quantities","CCSS.Math.Content.HSN.Q.A.3",false,false
"HSN.RN.A.1","Explain how the definition of the meaning of rational exponents follows from extending the properties of integer exponents to those values, allowing for a notation for radicals in terms of rational exponents. For example, we define 51/3 to be the cube root of 5 because we want (51/3)3 = 5(1/3)3 to hold, so (51/3)3 must equal 5.","http://www.corestandards.org/Math/Content/HSN/RN/A/1/","Number & Quantity","The Real Number System","CCSS.Math.Content.HSN.RN.A.1",false,false
"HSN.RN.A.2","Rewrite expressions involving radicals and rational exponents using the properties of exponents.","http://www.corestandards.org/Math/Content/HSN/RN/A/2/","Number & Quantity","The Real Number System","CCSS.Math.Content.HSN.RN.A.2",false,false
"HSN.RN.B.3","Explain why the sum or product of two rational numbers is rational; that the sum of a rational number and an irrational number is irrational; and that the product of a nonzero rational number and an irrational number is irrational.","http://www.corestandards.org/Math/Content/HSN/RN/B/3/","Number & Quantity","The Real Number System","CCSS.Math.Content.HSN.RN.B.3",false,false
"HSN.VM.A.1","Recognize vector quantities as having both magnitude and direction. Represent vector quantities by directed line segments, and use appropriate symbols for vectors and their magnitudes (e.g., v, |v|, ||v||, v).","http://www.corestandards.org/Math/Content/HSN/VM/A/1/","Number & Quantity","Vector and Matrix Quantities","CCSS.Math.Content.HSN.VM.A.1",true,false
"HSN.VM.A.2","Find the components of a vector by subtracting the coordinates of an initial point from the coordinates of a terminal point.","http://www.corestandards.org/Math/Content/HSN/VM/A/2/","Number & Quantity","Vector and Matrix Quantities","CCSS.Math.Content.HSN.VM.A.2",true,false
"HSN.VM.A.3","Solve problems involving velocity and other quantities that can be represented by vectors.","http://www.corestandards.org/Math/Content/HSN/VM/A/3/","Number & Quantity","Vector and Matrix Quantities","CCSS.Math.Content.HSN.VM.A.3",true,false
"HSN.VM.B.4","Add and subtract vectors.","http://www.corestandards.org/Math/Content/HSN/VM/B/4/","Number & Quantity","Vector and Matrix Quantities","CCSS.Math.Content.HSN.VM.B.4",true,false
"HSN.VM.B.5","Multiply a vector by a scalar.","http://www.corestandards.org/Math/Content/HSN/VM/B/5/","Number & Quantity","Vector and Matrix Quantities","CCSS.Math.Content.HSN.VM.B.5",true,false
"HSN.VM.C.6","Use matrices to represent and manipulate data, e.g., to represent payoffs or incidence relationships in a network.","http://www.corestandards.org/Math/Content/HSN/VM/C/6/","Number & Quantity","Vector and Matrix Quantities","CCSS.Math.Content.HSN.VM.C.6",true,false
"HSN.VM.C.7","Multiply matrices by scalars to produce new matrices, e.g., as when all of the payoffs in a game are doubled.","http://www.corestandards.org/Math/Content/HSN/VM/C/7/","Number & Quantity","Vector and Matrix Quantities","CCSS.Math.Content.HSN.VM.C.7",true,false
"HSN.VM.C.8","Add, subtract, and multiply matrices of appropriate dimensions.","http://www.corestandards.org/Math/Content/HSN/VM/C/8/","Number & Quantity","Vector and Matrix Quantities","CCSS.Math.Content.HSN.VM.C.8",true,false
"HSN.VM.C.9","Understand that, unlike multiplication of numbers, matrix multiplication for square matrices is not a commutative operation, but still satisfies the associative and distributive properties.","http://www.corestandards.org/Math/Content/HSN/VM/C/9/","Number & Quantity","Vector and Matrix Quantities","CCSS.Math.Content.HSN.VM.C.9",true,false
"HSN.VM.C.10","Understand that the zero and identity matrices play a role in matrix addition and multiplication similar to the role of 0 and 1 in the real numbers. The determinant of a square matrix is nonzero if and only if the matrix has a multiplicative inverse.","http://www.corestandards.org/Math/Content/HSN/VM/C/10/","Number & Quantity","Vector and Matrix Quantities","CCSS.Math.Content.HSN.VM.C.10",true,false
"HSN.VM.C.11","Multiply a vector (regarded as a matrix with one column) by a matrix of suitable dimensions to produce another vector. Work with matrices as transformations of vectors.","http://www.corestandards.org/Math/Content/HSN/VM/C/11/","Number & Quantity","Vector and Matrix Quantities","CCSS.Math.Content.HSN.VM.C.11",true,false
"HSN.VM.C.12","Work with 2 Ã— 2 matrices as a transformations of the plane, and interpret the absolute value of the determinant in terms of area.","http://www.corestandards.org/Math/Content/HSN/VM/C/12/","Number & Quantity","Vector and Matrix Quantities","CCSS.Math.Content.HSN.VM.C.12",true,false
"HSA.APR.A.1","Understand that polynomials form a system analogous to the integers, namely, they are closed under the operations of addition, subtraction, and multiplication; add, subtract, and multiply polynomials.","http://www.corestandards.org/Math/Content/HSA/APR/A/1/","Algebra","Arithmetic with Polynomials & Rational Expressions","CCSS.Math.Content.HSA.APR.A.1",false,false
"HSA.APR.B.2","Know and apply the Remainder Theorem: For a polynomial p(x) and a number a, the remainder on division by x - a is p(a), so p(a) = 0 if and only if (x - a) is a factor of p(x).","http://www.corestandards.org/Math/Content/HSA/APR/B/2/","Algebra","Arithmetic with Polynomials & Rational Expressions","CCSS.Math.Content.HSA.APR.B.2",false,false
"HSA.APR.B.3","Identify zeros of polynomials when suitable factorizations are available, and use the zeros to construct a rough graph of the function defined by the polynomial.","http://www.corestandards.org/Math/Content/HSA/APR/B/3/","Algebra","Arithmetic with Polynomials & Rational Expressions","CCSS.Math.Content.HSA.APR.B.3",false,false
"HSA.APR.C.4","Prove polynomial identities and use them to describe numerical relationships. For example, the polynomial identity (x2 + y2)2 = (x2 - y2)2 + (2xy)2 can be used to generate Pythagorean triples.","http://www.corestandards.org/Math/Content/HSA/APR/C/4/","Algebra","Arithmetic with Polynomials & Rational Expressions","CCSS.Math.Content.HSA.APR.C.4",false,false
"HSA.APR.C.5","Know and apply the Binomial Theorem for the expansion of (x + y)n in powers of x and y for a positive integer n, where x and y are any numbers, with coefficients determined for example by Pascal's Triangle.1","http://www.corestandards.org/Math/Content/HSA/APR/C/5/","Algebra","Arithmetic with Polynomials & Rational Expressions","CCSS.Math.Content.HSA.APR.C.5",true,false
"HSA.APR.D.6","Rewrite simple rational expressions in different forms; write a(x)/b(x) in the form q(x) + r(x)/b(x), where a(x), b(x), q(x), and r(x) are polynomials with the degree of r(x) less than the degree of b(x), using inspection, long division, or, for the more complicated examples, a computer algebra system.","http://www.corestandards.org/Math/Content/HSA/APR/D/6/","Algebra","Arithmetic with Polynomials & Rational Expressions","CCSS.Math.Content.HSA.APR.D.6",false,false
"HSA.APR.D.7","Understand that rational expressions form a system analogous to the rational numbers, closed under addition, subtraction, multiplication, and division by a nonzero rational expression; add, subtract, multiply, and divide rational expressions.","http://www.corestandards.org/Math/Content/HSA/APR/D/7/","Algebra","Arithmetic with Polynomials & Rational Expressions","CCSS.Math.Content.HSA.APR.D.7",true,false
"HSA.CED.A.1","Create equations and inequalities in one variable and use them to solve problems. Include equations arising from linear and quadratic functions, and simple rational and exponential functions.","http://www.corestandards.org/Math/Content/HSA/CED/A/1/","Algebra","Creating Equations","CCSS.Math.Content.HSA.CED.A.1",false,false
"HSA.CED.A.2","Create equations in two or more variables to represent relationships between quantities; graph equations on coordinate axes with labels and scales.","http://www.corestandards.org/Math/Content/HSA/CED/A/2/","Algebra","Creating Equations","CCSS.Math.Content.HSA.CED.A.2",false,false
"HSA.CED.A.3","Represent constraints by equations or inequalities, and by systems of equations and/or inequalities, and interpret solutions as viable or nonviable options in a modeling context. For example, represent inequalities describing nutritional and cost constraints on combinations of different foods.","http://www.corestandards.org/Math/Content/HSA/CED/A/3/","Algebra","Creating Equations","CCSS.Math.Content.HSA.CED.A.3",false,false
"HSA.CED.A.4","Rearrange formulas to highlight a quantity of interest, using the same reasoning as in solving equations. For example, rearrange Ohm's law V = IR to highlight resistance R.","http://www.corestandards.org/Math/Content/HSA/CED/A/4/","Algebra","Creating Equations","CCSS.Math.Content.HSA.CED.A.4",false,false
"HSA.REI.A.1","Explain each step in solving a simple equation as following from the equality of numbers asserted at the previous step, starting from the assumption that the original equation has a solution. Construct a viable argument to justify a solution method.","http://www.corestandards.org/Math/Content/HSA/REI/A/1/","Algebra","Reasoning with Equations and Inequalities","CCSS.Math.Content.HSA.REI.A.1",false,false
"HSA.REI.A.2","Solve simple rational and radical equations in one variable, and give examples showing how extraneous solutions may arise.","http://www.corestandards.org/Math/Content/HSA/REI/A/2/","Algebra","Reasoning with Equations and Inequalities","CCSS.Math.Content.HSA.REI.A.2",false,false
"HSA.REI.B.3","Solve linear equations and inequalities in one variable, including equations with coefficients represented by letters.","http://www.corestandards.org/Math/Content/HSA/REI/B/3/","Algebra","Reasoning with Equations and Inequalities","CCSS.Math.Content.HSA.REI.B.3",false,false
"HSA.REI.B.4","Solve quadratic equations in one variable.","http://www.corestandards.org/Math/Content/HSA/REI/B/4/","Algebra","Reasoning with Equations and Inequalities","CCSS.Math.Content.HSA.REI.B.4",false,false
"HSA.REI.C.5","Prove that, given a system of two equations in two variables, replacing one equation by the sum of that equation and a multiple of the other produces a system with the same solutions.","http://www.corestandards.org/Math/Content/HSA/REI/C/5/","Algebra","Reasoning with Equations and Inequalities","CCSS.Math.Content.HSA.REI.C.5",false,false
"HSA.REI.C.6","Solve systems of linear equations exactly and approximately (e.g., with graphs), focusing on pairs of linear equations in two variables.","http://www.corestandards.org/Math/Content/HSA/REI/C/6/","Algebra","Reasoning with Equations and Inequalities","CCSS.Math.Content.HSA.REI.C.6",false,false
"HSA.REI.C.7","Solve a simple system consisting of a linear equation and a quadratic equation in two variables algebraically and graphically. For example, find the points of intersection between the line y = -3x and the circle x2 + y2 = 3.","http://www.corestandards.org/Math/Content/HSA/REI/C/7/","Algebra","Reasoning with Equations and Inequalities","CCSS.Math.Content.HSA.REI.C.7",false,false
"HSA.REI.C.8","Represent a system of linear equations as a single matrix equation in a vector variable.","http://www.corestandards.org/Math/Content/HSA/REI/C/8/","Algebra","Reasoning with Equations and Inequalities","CCSS.Math.Content.HSA.REI.C.8",true,false
"HSA.REI.C.9","Find the inverse of a matrix if it exists and use it to solve systems of linear equations (using technology for matrices of dimension 3 Ã— 3 or greater).","http://www.corestandards.org/Math/Content/HSA/REI/C/9/","Algebra","Reasoning with Equations and Inequalities","CCSS.Math.Content.HSA.REI.C.9",true,false
"HSA.REI.D.10","Understand that the graph of an equation in two variables is the set of all its solutions plotted in the coordinate plane, often forming a curve (which could be a line).","http://www.corestandards.org/Math/Content/HSA/REI/D/10/","Algebra","Reasoning with Equations and Inequalities","CCSS.Math.Content.HSA.REI.D.10",false,false
"HSA.REI.D.11","Explain why the x-coordinates of the points where the graphs of the equations y = f(x) and y = g(x) intersect are the solutions of the equation f(x) = g(x); find the solutions approximately, e.g., using technology to graph the functions, make tables of values, or find successive approximations. Include cases where f(x) and/or g(x) are linear, polynomial, rational, absolute value, exponential, and logarithmic functions.*","http://www.corestandards.org/Math/Content/HSA/REI/D/11/","Algebra","Reasoning with Equations and Inequalities","CCSS.Math.Content.HSA.REI.D.11",false,false
"HSA.REI.D.12","Graph the solutions to a linear inequality in two variables as a half-plane (excluding the boundary in the case of a strict inequality), and graph the solution set to a system of linear inequalities in two variables as the intersection of the corresponding half-planes.","http://www.corestandards.org/Math/Content/HSA/REI/D/12/","Algebra","Reasoning with Equations and Inequalities","CCSS.Math.Content.HSA.REI.D.12",false,false
"HSA.SSE.A.1","Interpret expressions that represent a quantity in terms of its context.*","http://www.corestandards.org/Math/Content/HSA/SSE/A/1/","Algebra","Seeing Structure in Expressions","CCSS.Math.Content.HSA.SSE.A.1",false,false
"HSA.SSE.A.2","Use the structure of an expression to identify ways to rewrite it. For example, see x4 - y4 as (x2)2 - (y2)2, thus recognizing it as a difference of squares that can be factored as (x2 - y2)(x2 + y2).","http://www.corestandards.org/Math/Content/HSA/SSE/A/2/","Algebra","Seeing Structure in Expressions","CCSS.Math.Content.HSA.SSE.A.2",false,false
"HSA.SSE.B.3","Choose and produce an equivalent form of an expression to reveal and explain properties of the quantity represented by the expression.*","http://www.corestandards.org/Math/Content/HSA/SSE/B/3/","Algebra","Seeing Structure in Expressions","CCSS.Math.Content.HSA.SSE.B.3",false,false
"HSA.SSE.B.4","Derive the formula for the sum of a finite geometric series (when the common ratio is not 1), and use the formula to solve problems. For example, calculate mortgage payments.*","http://www.corestandards.org/Math/Content/HSA/SSE/B/4/","Algebra","Seeing Structure in Expressions","CCSS.Math.Content.HSA.SSE.B.4",false,false
"HSF.BF.A.1","Write a function that describes a relationship between two quantities.*","http://www.corestandards.org/Math/Content/HSF/BF/A/1/","Functions","Building Functions","CCSS.Math.Content.HSF.BF.A.1",false,false
"HSF.BF.A.2","Write arithmetic and geometric sequences both recursively and with an explicit formula, use them to model situations, and translate between the two forms.*","http://www.corestandards.org/Math/Content/HSF/BF/A/2/","Functions","Building Functions","CCSS.Math.Content.HSF.BF.A.2",false,false
"HSF.BF.B.3","Identify the effect on the graph of replacing f(x) by f(x) + k, k f(x), f(kx), and f(x + k) for specific values of k (both positive and negative); find the value of k given the graphs. Experiment with cases and illustrate an explanation of the effects on the graph using technology. Include recognizing even and odd functions from their graphs and algebraic expressions for them.","http://www.corestandards.org/Math/Content/HSF/BF/B/3/","Functions","Building Functions","CCSS.Math.Content.HSF.BF.B.3",false,false
"HSF.BF.B.4","Find inverse functions.","http://www.corestandards.org/Math/Content/HSF/BF/B/4/","Functions","Building Functions","CCSS.Math.Content.HSF.BF.B.4",false,false
"HSF.BF.B.5","Understand the inverse relationship between exponents and logarithms and use this relationship to solve problems involving logarithms and exponents.","http://www.corestandards.org/Math/Content/HSF/BF/B/5/","Functions","Building Functions","CCSS.Math.Content.HSF.BF.B.5",true,false
"HSF.IF.A.1","Understand that a function from one set (called the domain) to another set (called the range) assigns to each element of the domain exactly one element of the range. If f is a function and x is an element of its domain, then f(x) denotes the output of f corresponding to the input x. The graph of f is the graph of the equation y = f(x).","http://www.corestandards.org/Math/Content/HSF/IF/A/1/","Functions","Interpreting Functions","CCSS.Math.Content.HSF.IF.A.1",false,false
"HSF.IF.A.2","Use function notation, evaluate functions for inputs in their domains, and interpret statements that use function notation in terms of a context.","http://www.corestandards.org/Math/Content/HSF/IF/A/2/","Functions","Interpreting Functions","CCSS.Math.Content.HSF.IF.A.2",false,false
"HSF.IF.A.3","Recognize that sequences are functions, sometimes defined recursively, whose domain is a subset of the integers. For example, the Fibonacci sequence is defined recursively by f(0) = f(1) = 1, f(n+1) = f(n) + f(n-1) for n â‰¥ 1.","http://www.corestandards.org/Math/Content/HSF/IF/A/3/","Functions","Interpreting Functions","CCSS.Math.Content.HSF.IF.A.3",false,false
"HSF.IF.B.4","For a function that models a relationship between two quantities, interpret key features of graphs and tables in terms of the quantities, and sketch graphs showing key features given a verbal description of the relationship. Key features include: intercepts; intervals where the function is increasing, decreasing, positive, or negative; relative maximums and minimums; symmetries; end behavior; and periodicity.*","http://www.corestandards.org/Math/Content/HSF/IF/B/4/","Functions","Interpreting Functions","CCSS.Math.Content.HSF.IF.B.4",false,false
"HSF.IF.B.5","Relate the domain of a function to its graph and, where applicable, to the quantitative relationship it describes. For example, if the function h(n) gives the number of person-hours it takes to assemble n engines in a factory, then the positive integers would be an appropriate domain for the function.*","http://www.corestandards.org/Math/Content/HSF/IF/B/5/","Functions","Interpreting Functions","CCSS.Math.Content.HSF.IF.B.5",false,false
"HSF.IF.B.6","Calculate and interpret the average rate of change of a function (presented symbolically or as a table) over a specified interval. Estimate the rate of change from a graph.*","http://www.corestandards.org/Math/Content/HSF/IF/B/6/","Functions","Interpreting Functions","CCSS.Math.Content.HSF.IF.B.6",false,false
"HSF.IF.C.7","Graph functions expressed symbolically and show key features of the graph, by hand in simple cases and using technology for more complicated cases.*","http://www.corestandards.org/Math/Content/HSF/IF/C/7/","Functions","Interpreting Functions","CCSS.Math.Content.HSF.IF.C.7",false,false
"HSF.IF.C.8","Write a function defined by an expression in different but equivalent forms to reveal and explain different properties of the function.","http://www.corestandards.org/Math/Content/HSF/IF/C/8/","Functions","Interpreting Functions","CCSS.Math.Content.HSF.IF.C.8",false,false
"HSF.IF.C.9","Compare properties of two functions each represented in a different way (algebraically, graphically, numerically in tables, or by verbal descriptions). For example, given a graph of one quadratic function and an algebraic expression for another, say which has the larger maximum.","http://www.corestandards.org/Math/Content/HSF/IF/C/9/","Functions","Interpreting Functions","CCSS.Math.Content.HSF.IF.C.9",false,false
"HSF.LE.A.1","Distinguish between situations that can be modeled with linear functions and with exponential functions.","http://www.corestandards.org/Math/Content/HSF/LE/A/1/","Functions","Linear; Quadratic; and Exponential Models","CCSS.Math.Content.HSF.LE.A.1",false,false
"HSF.LE.A.2","Construct linear and exponential functions, including arithmetic and geometric sequences, given a graph, a description of a relationship, or two input-output pairs (include reading these from a table).","http://www.corestandards.org/Math/Content/HSF/LE/A/2/","Functions","Linear; Quadratic; and Exponential Models","CCSS.Math.Content.HSF.LE.A.2",false,false
"HSF.LE.A.3","Observe using graphs and tables that a quantity increasing exponentially eventually exceeds a quantity increasing linearly, quadratically, or (more generally) as a polynomial function.","http://www.corestandards.org/Math/Content/HSF/LE/A/3/","Functions","Linear; Quadratic; and Exponential Models","CCSS.Math.Content.HSF.LE.A.3",false,false
"HSF.LE.A.4","For exponential models, express as a logarithm the solution to abct = d where a, c, and d are numbers and the base b is 2, 10, or e; evaluate the logarithm using technology.","http://www.corestandards.org/Math/Content/HSF/LE/A/4/","Functions","Linear; Quadratic; and Exponential Models","CCSS.Math.Content.HSF.LE.A.4",false,false
"HSF.LE.B.5","Interpret the parameters in a linear or exponential function in terms of a context.","http://www.corestandards.org/Math/Content/HSF/LE/B/5/","Functions","Linear; Quadratic; and Exponential Models","CCSS.Math.Content.HSF.LE.B.5",false,false
"HSF.TF.A.1","Understand radian measure of an angle as the length of the arc on the unit circle subtended by the angle.","http://www.corestandards.org/Math/Content/HSF/TF/A/1/","Functions","Trigonometric Functions","CCSS.Math.Content.HSF.TF.A.1",false,false
"HSF.TF.A.2","Explain how the unit circle in the coordinate plane enables the extension of trigonometric functions to all real numbers, interpreted as radian measures of angles traversed counterclockwise around the unit circle.","http://www.corestandards.org/Math/Content/HSF/TF/A/2/","Functions","Trigonometric Functions","CCSS.Math.Content.HSF.TF.A.2",false,false
"HSF.TF.A.3","Use special triangles to determine geometrically the values of sine, cosine, tangent for Ï€/3, Ï€/4 and Ï€/6, and use the unit circle to express the values of sine, cosine, and tangent for x, Ï€ + x, and 2Ï€ - x in terms of their values for x, where x is any real number.","http://www.corestandards.org/Math/Content/HSF/TF/A/3/","Functions","Trigonometric Functions","CCSS.Math.Content.HSF.TF.A.3",true,false
"HSF.TF.A.4","Use the unit circle to explain symmetry (odd and even) and periodicity of trigonometric functions.","http://www.corestandards.org/Math/Content/HSF/TF/A/4/","Functions","Trigonometric Functions","CCSS.Math.Content.HSF.TF.A.4",true,false
"HSF.TF.B.5","Choose trigonometric functions to model periodic phenomena with specified amplitude, frequency, and midline.*","http://www.corestandards.org/Math/Content/HSF/TF/B/5/","Functions","Trigonometric Functions","CCSS.Math.Content.HSF.TF.B.5",false,false
"HSF.TF.B.6","Understand that restricting a trigonometric function to a domain on which it is always increasing or always decreasing allows its inverse to be constructed.","http://www.corestandards.org/Math/Content/HSF/TF/B/6/","Functions","Trigonometric Functions","CCSS.Math.Content.HSF.TF.B.6",true,false
"HSF.TF.B.7","Use inverse functions to solve trigonometric equations that arise in modeling contexts; evaluate the solutions using technology, and interpret them in terms of the context.*","http://www.corestandards.org/Math/Content/HSF/TF/B/7/","Functions","Trigonometric Functions","CCSS.Math.Content.HSF.TF.B.7",true,false
"HSF.TF.C.8","Prove the Pythagorean identity sin2(Î¸) + cos2(Î¸) = 1 and use it to find sin(Î¸), cos(Î¸), or tan(Î¸) given sin(Î¸), cos(Î¸), or tan(Î¸) and the quadrant of the angle.","http://www.corestandards.org/Math/Content/HSF/TF/C/8/","Functions","Trigonometric Functions","CCSS.Math.Content.HSF.TF.C.8",false,false
"HSF.TF.C.9","Prove the addition and subtraction formulas for sine, cosine, and tangent and use them to solve problems.","http://www.corestandards.org/Math/Content/HSF/TF/C/9/","Functions","Trigonometric Functions","CCSS.Math.Content.HSF.TF.C.9",true,false
"HSG.C.A.1","Prove that all circles are similar.","http://www.corestandards.org/Math/Content/HSG/C/A/1/","Geometry","Circles","CCSS.Math.Content.HSG.C.A.1",false,false
"HSG.C.A.2","Identify and describe relationships among inscribed angles, radii, and chords. Include the relationship between central, inscribed, and circumscribed angles; inscribed angles on a diameter are right angles; the radius of a circle is perpendicular to the tangent where the radius intersects the circle.","http://www.corestandards.org/Math/Content/HSG/C/A/2/","Geometry","Circles","CCSS.Math.Content.HSG.C.A.2",false,false
"HSG.C.A.3","Construct the inscribed and circumscribed circles of a triangle, and prove properties of angles for a quadrilateral inscribed in a circle.","http://www.corestandards.org/Math/Content/HSG/C/A/3/","Geometry","Circles","CCSS.Math.Content.HSG.C.A.3",false,false
"HSG.C.A.4","Construct a tangent line from a point outside a given circle to the circle.","http://www.corestandards.org/Math/Content/HSG/C/A/4/","Geometry","Circles","CCSS.Math.Content.HSG.C.A.4",true,false
"HSG.C.B.5","Derive using similarity the fact that the length of the arc intercepted by an angle is proportional to the radius, and define the radian measure of the angle as the constant of proportionality; derive the formula for the area of a sector.","http://www.corestandards.org/Math/Content/HSG/C/B/5/","Geometry","Circles","CCSS.Math.Content.HSG.C.B.5",false,false
"HSG.CO.A.1","Know precise definitions of angle, circle, perpendicular line, parallel line, and line segment, based on the undefined notions of point, line, distance along a line, and distance around a circular arc.","http://www.corestandards.org/Math/Content/HSG/CO/A/1/","Geometry","Congruence","CCSS.Math.Content.HSG.CO.A.1",false,false
"HSG.CO.A.2","Represent transformations in the plane using, e.g., transparencies and geometry software; describe transformations as functions that take points in the plane as inputs and give other points as outputs. Compare transformations that preserve distance and angle to those that do not (e.g., translation versus horizontal stretch).","http://www.corestandards.org/Math/Content/HSG/CO/A/2/","Geometry","Congruence","CCSS.Math.Content.HSG.CO.A.2",false,false
"HSG.CO.A.3","Given a rectangle, parallelogram, trapezoid, or regular polygon, describe the rotations and reflections that carry it onto itself.","http://www.corestandards.org/Math/Content/HSG/CO/A/3/","Geometry","Congruence","CCSS.Math.Content.HSG.CO.A.3",false,false
"HSG.CO.A.4","Develop definitions of rotations, reflections, and translations in terms of angles, circles, perpendicular lines, parallel lines, and line segments.","http://www.corestandards.org/Math/Content/HSG/CO/A/4/","Geometry","Congruence","CCSS.Math.Content.HSG.CO.A.4",false,false
"HSG.CO.A.5","Given a geometric figure and a rotation, reflection, or translation, draw the transformed figure using, e.g., graph paper, tracing paper, or geometry software. Specify a sequence of transformations that will carry a given figure onto another.","http://www.corestandards.org/Math/Content/HSG/CO/A/5/","Geometry","Congruence","CCSS.Math.Content.HSG.CO.A.5",false,false
"HSG.CO.B.6","Use geometric descriptions of rigid motions to transform figures and to predict the effect of a given rigid motion on a given figure; given two figures, use the definition of congruence in terms of rigid motions to decide if they are congruent.","http://www.corestandards.org/Math/Content/HSG/CO/B/6/","Geometry","Congruence","CCSS.Math.Content.HSG.CO.B.6",false,false
"HSG.CO.B.7","Use the definition of congruence in terms of rigid motions to show that two triangles are congruent if and only if corresponding pairs of sides and corresponding pairs of angles are congruent.","http://www.corestandards.org/Math/Content/HSG/CO/B/7/","Geometry","Congruence","CCSS.Math.Content.HSG.CO.B.7",false,false
"HSG.CO.B.8","Explain how the criteria for triangle congruence (ASA, SAS, and SSS) follow from the definition of congruence in terms of rigid motions.","http://www.corestandards.org/Math/Content/HSG/CO/B/8/","Geometry","Congruence","CCSS.Math.Content.HSG.CO.B.8",false,false
"HSG.CO.C.9","Prove theorems about lines and angles. Theorems include: vertical angles are congruent; when a transversal crosses parallel lines, alternate interior angles are congruent and corresponding angles are congruent; points on a perpendicular bisector of a line segment are exactly those equidistant from the segment's endpoints.","http://www.corestandards.org/Math/Content/HSG/CO/C/9/","Geometry","Congruence","CCSS.Math.Content.HSG.CO.C.9",false,false
"HSG.CO.C.10","Prove theorems about triangles. Theorems include: measures of interior angles of a triangle sum to 180Â°; base angles of isosceles triangles are congruent; the segment joining midpoints of two sides of a triangle is parallel to the third side and half the length; the medians of a triangle meet at a point.","http://www.corestandards.org/Math/Content/HSG/CO/C/10/","Geometry","Congruence","CCSS.Math.Content.HSG.CO.C.10",false,false
"HSG.CO.C.11","Prove theorems about parallelograms. Theorems include: opposite sides are congruent, opposite angles are congruent, the diagonals of a parallelogram bisect each other, and conversely, rectangles are parallelograms with congruent diagonals.","http://www.corestandards.org/Math/Content/HSG/CO/C/11/","Geometry","Congruence","CCSS.Math.Content.HSG.CO.C.11",false,false
